Tool,Description,href,toolset,desc,toolb
Enclose Multipatch,Creates  closed multipatch features from open multipatch features.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Is Closed 3D,Evaluates multipatch features to determine whether each feature completely encloses a volume of space.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Simplify 3D Line,Generalizes 3D line features to reduce the overall number of vertices while approximating the original shape in horizontal and vertical directions within a specified tolerance.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Extract Multipatch From Mesh,Creates a multipatch feature from the portion of an integrated mesh that overlaps a polygon.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Extract Power Lines From Point Cloud,"Extracts 3D line features modeling power lines 
from classified point cloud data.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
LAS Building Multipatch,Creates building models derived from rooftop points captured in lidar data.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Multipatch Footprint,Creates polygon footprints representing the two-dimensional  area of multipatch features.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Regularize Adjacent Building Footprint,Regularizes building footprints that have common boundaries.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Regularize Building Footprint,Normalizes the footprint of building polygons by eliminating undesirable artifacts in their  geometry.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Interpolate Polygon To Multipatch,Creates surface-conforming  multipatch features by draping polygon features over a surface.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Interpolate Shape,Creates 3D features by interpolating z-values from a surface.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Update Feature Z,Updates the z-coordinates of 3D feature vertices using a surface.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
Fence Diagram,Constructs a vertical cross-section of a collection of surfaces.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-intersections-toolset.htm#GUID-43757A6E-550D-44D3-A31E-3FB8C79A2350,3D Intersections,Contains  tools for evaluating where overlapping 3D datasets meet and visualizing them using various representations.,3D Analyst toolbox
Intersect 3D,"Computes the intersection of multipatch features to produce closed multipatches  encompassing the overlapping volumes, open multipatch features from the common surface areas, or lines from the intersecting edges.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-intersections-toolset.htm#GUID-43757A6E-550D-44D3-A31E-3FB8C79A2350,3D Intersections,Contains  tools for evaluating where overlapping 3D datasets meet and visualizing them using various representations.,3D Analyst toolbox
Intersect 3D Line With Multipatch,Returns the number of geometric intersections between  3D line and multipatch features and also provides optional features that represent points of intersection and also divide the 3D lines at such points.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-intersections-toolset.htm#GUID-43757A6E-550D-44D3-A31E-3FB8C79A2350,3D Intersections,Contains  tools for evaluating where overlapping 3D datasets meet and visualizing them using various representations.,3D Analyst toolbox
Intersect 3D Line With Surface,Computes the geometric intersection of 3D line features and one or more surfaces to return the intersection as segmented line features and points.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-intersections-toolset.htm#GUID-43757A6E-550D-44D3-A31E-3FB8C79A2350,3D Intersections,Contains  tools for evaluating where overlapping 3D datasets meet and visualizing them using various representations.,3D Analyst toolbox
Intersect 3D Lines,Computes the intersecting and overlapping segments of lines in 3D space.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-intersections-toolset.htm#GUID-43757A6E-550D-44D3-A31E-3FB8C79A2350,3D Intersections,Contains  tools for evaluating where overlapping 3D datasets meet and visualizing them using various representations.,3D Analyst toolbox
Stack Profile,"Creates a table and optional graph denoting the  profile of line features over one or more multipatch, raster, TIN, or terrain surfaces.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-intersections-toolset.htm#GUID-43757A6E-550D-44D3-A31E-3FB8C79A2350,3D Intersections,Contains  tools for evaluating where overlapping 3D datasets meet and visualizing them using various representations.,3D Analyst toolbox
Buffer 3D,Creates a 3-dimensional buffer around points or lines to produce spherical or cylindrical multipatch features.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-proximity-toolset.htm#GUID-B961E6FE-2E3D-4DC7-9594-A9EBF5315A4E,3D Proximity,"Contains tools for performing distance-based evaluations of 3D points, LAS point clouds, lines, and multipatch features.",3D Analyst toolbox
Inside 3D,"Determines if 3D features from an input feature class are contained inside a closed multipatch, and writes an output table recording the features that are partially or fully inside the multipatch.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-proximity-toolset.htm#GUID-B961E6FE-2E3D-4DC7-9594-A9EBF5315A4E,3D Proximity,"Contains tools for performing distance-based evaluations of 3D points, LAS point clouds, lines, and multipatch features.",3D Analyst toolbox
Locate LAS Points By Proximity,Identifies LAS points within the three-dimensional proximity of z-enabled features along with the option to reclassify those points.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-proximity-toolset.htm#GUID-B961E6FE-2E3D-4DC7-9594-A9EBF5315A4E,3D Proximity,"Contains tools for performing distance-based evaluations of 3D points, LAS point clouds, lines, and multipatch features.",3D Analyst toolbox
