href,tool,desc,toolb
/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-features-toolset.htm,3D Features,Provides tools for evaluating geometric properties and relationships between three-dimensional features. ,3D Analyst toolbox
/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-intersections-toolset.htm#GUID-43757A6E-550D-44D3-A31E-3FB8C79A2350,3D Intersections,Contains  tools for evaluating where overlapping 3D datasets meet and visualizing them using various representations.,3D Analyst toolbox
/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-proximity-toolset.htm#GUID-B961E6FE-2E3D-4DC7-9594-A9EBF5315A4E,3D Proximity,"Contains tools for performing distance-based evaluations of 3D points, LAS point clouds, lines, and multipatch features.",3D Analyst toolbox
/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-area-and-volume-toolset.htm#GUID-430B25B3-60A4-4308-B726-4FBBBCD390A6,Area and Volume,Contains tools that provide solutions for analyzing change between surfaces and generating volumetric representations of 3D data.,3D Analyst toolbox
/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-raster-toolset.htm#GUID-7278F23C-7CEF-4FC1-B3CF-962B27E2A1BD,Raster,"Contains tools for converting raster surfaces and extracting their footprint alongside tools for reclassifying raster data, interpolating surfaces from point measurements, performing math operations using cell values, and generating surface derivatives such as slope, contour, aspect, and curvature.",3D Analyst toolbox
/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-statistics-toolset.htm#GUID-7E9B50CF-27EB-4338-A92A-901DBFFB4D18,Statistics,"Contains tools for aggregating statistics about z-enabled data  from features, point clouds, raster, and triangulated surfaces.",3D Analyst toolbox
/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-triangulated-surface-toolset.htm,Triangulated Surface,"Provides analysis tools that enable the determination of surface properties of TIN, terrain, and LAS datasets, such as contours, slope, aspect, hillshade, difference calculation, volumetric computations, and outlier detection.",3D Analyst toolbox
/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-visibility-toolset.htm,Visibility,"Features tools that enable visibility analysis to be performed using various types of observer features and obstruction sources that  include surfaces, multipatches, which are great for representing structures like buildings, and 3D features.",3D Analyst toolbox
/en/pro-app/2.7/tool-reference/analysis/an-overview-of-the-extract-toolset.htm,Extract,GIS datasets often contain more data than you need. The Extract tools let you select features and attributes in a feature class or table based on a query (SQL expression) or spatial and attribute extraction. The output features and attributes are stored in a feature class or table.,Analysis toolbox
/en/pro-app/2.7/tool-reference/analysis/an-overview-of-the-overlay-toolset.htm,Overlay,"The Overlay toolset contains tools to overlay multiple feature classes to combine, erase, modify, or update spatial features, resulting in a new feature class. New information is created when overlaying one set of features with another. All of the overlay operations involve joining two sets of features into a single set of features to identify spatial relationships between the input features.",Analysis toolbox
/en/pro-app/2.7/tool-reference/analysis/an-overview-of-the-pairwise-overlay-toolset.htm,Pairwise Overlay,The Pairwise Overlay toolset contains tools that provide an alternative to a number of classic overlay tools for functional and performance considerations. ,Analysis toolbox
/en/pro-app/2.7/tool-reference/analysis/an-overview-of-the-proximity-toolset.htm,Proximity,The Proximity toolset contains tools that are used to determine the proximity of features within one or more feature classes or between two feature classes. These tools can identify features that are closest to one another or calculate the distances between or around them.,Analysis toolbox
/en/pro-app/2.7/tool-reference/analysis/an-overview-of-the-statistics-toolset.htm,Statistics,"The Statistics toolset contains tools that perform standard statistical analysis (such as mean, minimum, maximum, and standard deviation) on attribute data as well as tools that calculate  area, length, and count statistics for overlapping and neighboring features. The toolset also includes the Enrich tool that adds demographic facts like population or landscape facts like percent forested to your data.",Analysis toolbox
/en/pro-app/2.7/tool-reference/aviation/an-overview-of-the-airports-toolset.htm,Airports,The  Airports toolset contains tools that examine and generate obstruction identification surfaces (OIS) and process 18B data.,Aviation toolbox
/en/pro-app/2.7/tool-reference/aviation/an-overview-of-the-charting-toolset.htm,Charting,The  Charting toolset contains other toolsets with tools that efficiently gather information to populate source features and import AIXM data into an aviation geodatabase.,Aviation toolbox
/en/pro-app/2.7/tool-reference/business-analyst/an-overview-of-the-analysis-toolset.htm,Analysis," The Analysis toolset contains tools to evaluate demographic attributes of market areas, customer distributions, stores, and facility networks.",Business Analyst toolbox
/en/pro-app/2.7/tool-reference/business-analyst/an-overview-of-the-modeling-toolset.htm,Modeling,"The Modeling toolset contains tools to generate market share and sales forecast model outputs based on the Huff model.
",Business Analyst toolbox
/en/pro-app/2.7/tool-reference/business-analyst/an-overview-of-the-reports-toolset.htm,Reports,"The Reports toolset contains a tool to generate reports based on standard
demographic or custom data, allowing market ranking and geographic
analysis, site location, customer distribution, and standard
demographic reports.",Business Analyst toolbox
/en/pro-app/2.7/tool-reference/business-analyst/an-overview-of-the-statistical-data-collections-toolset.htm,Statistical Data Collections,"The Statistical Data Collections toolset contains a tool to set how your data is apportioned, aggregated, and shared.",Business Analyst toolbox
/en/pro-app/2.7/tool-reference/business-analyst/an-overview-of-the-suitability-analysis-toolset.htm,Suitability Analysis,"The Suitability Analysis toolset contains a set of tools that allow you to identify the most suitable sites
from a set of candidates, as defined by applying a set of
individually weighted criteria.",Business Analyst toolbox
/en/pro-app/2.7/tool-reference/business-analyst/an-overview-of-the-target-marketing-toolset.htm,Target Marketing,"The Target Marketing toolset contains tools for creating customer and geographic profiles, target groups, and segmentation maps.",Business Analyst toolbox
/en/pro-app/2.7/tool-reference/business-analyst/an-overview-of-the-trade-areas-toolset.htm,Trade Areas," The Trade Areas toolset contains tools to build trade areas. Trade areas are used to analyze market areas and can be constructed to satisfy a variety of methods, including customer and competitor locations, administrative boundaries, street networks and distance, and demographic factors.",Business Analyst toolbox
/en/pro-app/2.7/tool-reference/cartography/an-overview-of-the-annotation-toolset.htm,Annotation,The Annotation toolset contains tools that allow you to automate your annotation workflow.,Cartography toolbox
/en/pro-app/2.7/tool-reference/cartography/an-overview-of-the-cartographic-refinement-toolset.htm,Cartographic Refinement,Contains tools to enrich symbology by adjusting the alignment and arrangement of symbols and creating bridge and tunnel features.,Cartography toolbox
/en/pro-app/2.7/tool-reference/cartography/an-overview-of-the-generalization-toolset.htm,Generalization,The Generalization toolset contains tools that simplify and refine features for display at smaller scales.,Cartography toolbox
/en/pro-app/2.7/tool-reference/cartography/an-overview-of-the-graphic-conflicts-toolset.htm,Graphic Conflicts,Contains tools to detect and resolve graphic conflicts among symbolized features.,Cartography toolbox
/en/pro-app/2.7/tool-reference/cartography/an-overview-of-the-map-series-toolset.htm,Map Series,Contains tools that create and prepare an index layer for use in map series. The features of an index layer are used to define the extents of multiple pages. One page of output is generated for each feature extent.,Cartography toolbox
/en/pro-app/2.7/tool-reference/cartography/an-overview-of-the-masking-toolset.htm,Masking,Contains tools to create masks to enhance cartographic display by obscuring conflicting feature symbology,Cartography toolbox
