tool,description,href,toolbox,toolset
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",/en/pro-app/2.7/tool-reference/3d-analyst/ascii-3d-to-feature-class.htm,3D Analyst toolbox,3D Features
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",/en/pro-app/2.7/tool-reference/3d-analyst/feature-class-z-to-ascii.htm,3D Analyst toolbox,3D Features
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,/en/pro-app/2.7/tool-reference/3d-analyst/feature-to-3d-by-attribute.htm,3D Analyst toolbox,3D Features
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,/en/pro-app/2.7/tool-reference/3d-analyst/features-from-cityengine-rules.htm,3D Analyst toolbox,3D Features
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,/en/pro-app/2.7/tool-reference/3d-analyst/import-3d-files.htm,3D Analyst toolbox,3D Features
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,/en/pro-app/2.7/tool-reference/3d-analyst/layer-3d-to-feature-class.htm,3D Analyst toolbox,3D Features
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",/en/pro-app/2.7/tool-reference/3d-analyst/ascii-3d-to-feature-class.htm,3D Analyst toolbox,3D Features
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",/en/pro-app/2.7/tool-reference/3d-analyst/feature-class-z-to-ascii.htm,3D Analyst toolbox,3D Features
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,/en/pro-app/2.7/tool-reference/3d-analyst/feature-to-3d-by-attribute.htm,3D Analyst toolbox,3D Features
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,/en/pro-app/2.7/tool-reference/3d-analyst/features-from-cityengine-rules.htm,3D Analyst toolbox,3D Features
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,/en/pro-app/2.7/tool-reference/3d-analyst/import-3d-files.htm,3D Analyst toolbox,3D Features
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,/en/pro-app/2.7/tool-reference/3d-analyst/layer-3d-to-feature-class.htm,3D Analyst toolbox,3D Features
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",/en/pro-app/2.7/tool-reference/3d-analyst/ascii-3d-to-feature-class.htm,3D Analyst toolbox,3D Features
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",/en/pro-app/2.7/tool-reference/3d-analyst/feature-class-z-to-ascii.htm,3D Analyst toolbox,3D Features
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,/en/pro-app/2.7/tool-reference/3d-analyst/feature-to-3d-by-attribute.htm,3D Analyst toolbox,3D Features
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,/en/pro-app/2.7/tool-reference/3d-analyst/features-from-cityengine-rules.htm,3D Analyst toolbox,3D Features
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,/en/pro-app/2.7/tool-reference/3d-analyst/import-3d-files.htm,3D Analyst toolbox,3D Features
